Category,Message
ham,"Yeah, probably earlier than that"
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
spam,Free Tony hopes you like your new content. The text stops to 61610 to cancel the registration. Help: 087125602450p provided by tones2you.co.uk
spam,18 days to start Euro2004! You will be informed about all the latest news and results daily. Cancellation of Get Euro registration stops to 83222.
spam,"You have a secret person, who is looking for two people to contact U-Find to who they have revealed who thinks that you are very special calling on 09065171142"
ham,I'm in town now so i'll jus take mrt down later.
ham,When Ã¼ login dat time... Dad fetching Ã¼ home now?
spam,4MTHS Half Price Orange Line for rent & latest 4 -camera phone. Is your 11 -month phone? Call MobileDirect for free at 08000938767 to update now! Or2stoptxt
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, Â£500 Cash or Â£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
spam,"Emergency emergency! We have 800 free flights to Europe to give, call B4 on September 10 and bring a free 4 friend. Call now to request at 09050000555."
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
spam,Important information notice for users O2. Today is your lucky day! 2 Find out why login to http://www.urawinner.com has a great surprise waiting for you
spam,FREE entry into our Â£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Esplanade lor. Where else...
spam,"Nokia or Motorola for free with a maximum of 12 minutes 1/2price linerental, 500 mins-net mins & 100TXT/MTH for free B'Tooth*. Call MobileupD8 at 08001950382 or call 2optout/D3WV"
spam,"SMS auction you won Nokia 7250i. This is what you get when you win our free auction. To join, send Nokia to 86021 now. HG/Suite342/2lands/W1JHL 16+"
ham,"Awesome, I'll see you in a bit"
ham,Why don't you wait 'til at least wednesday to see if you get your .
ham,With my sis lor... We juz watched italian job.
spam,"I want to tell you my deepest dark imagination. Call me 09094646631 only 60p/minute. To stop text, call 08712460324 (NAT ratio)"
spam,"Enter free to GR8Prizes WKLY Comp 4 chances to win the latest Nokia 8800, PSP or £ 250 Each WK.txt great up to 80878 http // www.gr8prize.com 08715705022"
ham,"Sorry, I'll call you  later. I am in meeting sir."
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
ham,"Haha... Sounds crazy, dunno can tahan anot..."
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
ham,All done? All handed in? Celebrations in full swing yet?
spam,Please call our customer service representative on Freephone 0808 145 4742 in the period from 9 am to 11 pm because you have won 1000 £ 1000 cash or a prize £ 5000!
spam,Free video camera phone with half lines for 12 months and 500 NTWK MINS 100 TXTS. Call mobileupd8 08001950382 or call2optout/674
spam,Provides customer loyalty: Mobile Nokia6650 is only from 10 pounds at TXTAUCTION! TXT Word: Start no: 81151 & receive you right now! 4T & CTXT TC 150P/MTMSG
ham,No. I dont want to hear anything
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
spam,"Winner !! As a valuable network customer, you have been chosen to receive a prize of £ 900! To request, call 09061701461. Code Request KL341. Only 12 hours."
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
spam,** Free message ** Thank you for using the auction registration service. 18. 150p/msgrcvd 2 ignores a TXT auction. 2 Cancel registration TXT Stop Customercare 08718726270
ham,But you dint in touch with me.
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,Thank u!
ham,What * u wearing?
spam,"Your cash balance is currently 500 pounds-to maximize your cash, send to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1J6HL"
spam,"Pic nick, and Tom, Pete and ... Dick. In fact, all types try gay conversation with photos uploaded to 08718730666 (10p/minute). 2 Stopping documents call 08712460324"
ham,Why did I wake up on my own &gt;:(
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
ham,I'm always looking for an excuse to be in the city.
ham,i see. When we finish we have loads of loans to pay
spam,Ur HMV Quiz cash-balance is currently Â£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
ham,Carry on not disturbing both of you
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear.."
spam,The £ 400 xmas is waiting for you! Our computer randomly selects you from our loyal mobile customers to receive £ 400. Just call 09066380611
ham,"Not for possession, especially not first offense"
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
spam,You have won a prize guaranteed £ 200 or even £ 1000 Cash to receive the free UR prize at 08000407165 (18+) 2 Stop Getstop over 88222 PHP. RG21 4JX
spam,Your balance is now £ 500. Your next question is: Who sang 'Uptown Girl' in the 80s? 2 Answer txt answer for 83600. Good luck!
spam,Are you unique enough? Learn from August 30. Www.areyouunique.co.uk
spam,The current leading bid is 151. This auction is suspended. Customer care: 08718726270
spam,Thesmszone.com allows you to send an anonymous message and wear a free mask .. I send this message from there.. Are you seeing the potential for abuse ???
spam,"Receive 3 Lions England Tone, answer Lionm 4 Mono or Lionp 4 Poly. 4 Add Go 2 www.ringtones.co.uk, the best N original. Apply 3GBP network operating rate"
ham,I love to cuddle! I want to hold you in my strong arms right now...
ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.
spam,"Urgent! Call 09066612661 from a fixed phone. Additional 4* Tenerife Holiday or £ 10,000 Cash is waiting for the collection of Sae T & CS PO Box 3 WA14 2PX 150PPM 18+ senders"
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
spam,Ringtones 84484
ham,Glad to see your reply.
ham,"Alright, I'll head out in a few minutes, text me where to meet you"
ham,Can come my room but cannot come my house cos my house still messy... Haha...
ham,"IÂm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
ham,jay says he'll put in  &lt;#&gt;
spam,"Victory: We have a winner! Mr. T. Foley has won an iPod! The prizes are interesting early, so follow your mobile phone or visit www.win-82050.co.uk"
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
spam,"URGENT! Your mobile No 077xxx WON a Â£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.
ham,Siva is in hostel aha:-.
spam,"This is your discount code RP176781. To stop extra message, please stop. www.regalportfolio.co.uk. Customer service 08717205546"
spam,83039 62735=Â£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541
spam,Urgent Ur Â£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 Â£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
spam,Lookatme!: Thank you for buying a video clip from lookatme! Thinking that you can do better? Why not send videos in MMSTO 32323.
ham,Noice. Text me when you're here
spam,"Themob> Check our latest options on content, game, tone, rumor, babes and sport, keep your mobile device appropriate and wap text to 82468"
ham,Hmmm:)how many players selected?
spam,This message is brought to you by GMW Ltd. and not connected with
ham,"Sorry, I'll call later"
spam,"Thanks for your ringtone order, Ref K718. Your mobile phone will be charged £ 4.50. If your melody does not come, please call customer service at 09065069120"
spam,"XMAS & New Year tickets are currently being sold from the club, during the day from 10 am to 8 pm, and on Thursday, Friday & Friday this night. They are selling fast!"
ham,So wats ur opinion abt him and how abt is character?
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
spam,Dorothy@kawer.com (Granit Bank is strongly issued) for our members ***** to more than 300% ****** /
ham,His bday real is in april .
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
spam,Collecting your Valentine's weekend to Paris Inc + £ 200 hotel guaranteed awards! Text: Paris to number: 69101. Www.rtf.sphosting.com
ham,Ok i vl..do u know i got adsense approved..
ham,No one interested. May be some business plan.
spam,Last chance 2 claim ur Â£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. Â£3.00 Sub. 16 . Remove txt X or STOP
spam,URGENT! We are trying to contact U. Today Draw shows that you have won a prize worth £ 800. Call 09000001808 from Land Line. Request M95. Only valid 12hrs
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
ham,Is that on the telly? No its Brdget Jones!
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
spam,"Hello, 2 nights of lucky night! Uve is invited 2 xchat, UKS's wildest conversation! TXT talks to 86688 now! 150p/msgrcvdhg/suite342/2lands/row/w1J6HL LDN 18YRS"
ham,So Ã¼'ll be submitting da project tmr rite?
ham,K..k..i'm also fine:)when will you complete the course?
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
ham,Jus finish bathing...
spam,"New mobile phone since 2004, must go! TXT: Nokia to number: 89545 & collect you today! Only from £ 1."
spam,"Your 2004 account for 07xxxxxxxxx shows that 786 points have not been received. To request, call 08719181259 Name code: xxxxx expired 26.03.05"
spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
spam,Answer to win £ 100 per week! Where will FIFA World Cup 2006 be held? Send stop to 87239 to end the service
spam,You are chosen to receive the 350 prize! PLS Call Note 09066364311 to collect your awards that you are chosen to accept as valuable mobile customers.
ham,Hi! This is Roger from CL. How are you?
spam,We have tried to contact you Re suggest our new video 750 at any time any MINS network half the price for renting a cameras call 08000930705 or reply for the fourth delivery
spam,Bloomberg -message Center +44779706009 Why must wait? Applicable to your future HTTP: // career. Bloomberg.com
ham,WHORE YOU ARE UNBELIEVABLE.
ham,Ok lor wat time Ã¼ finish?
ham,Should I tell my friend not to come round til like  &lt;#&gt; ish?
spam,URGENT! Your mobile phone number has been awarded the awards £ 2000. Call 09061790126 from Land Line. Requirements 3030. Only 12HRS 150ppm valid
spam,"Pdate_now - double minutes and 1000 txt on orange tariffs. Motorola, Sonyericson & Nokia & Bluetooth Free! Call MobileupD8 at 08000839402 or Call2optout/! YHL"
spam,tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
spam,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
spam,This message is brought to you by GMW Ltd. and not connected with
spam,PRIVATE! Your 2004 account report for 07742676969 shows that 786 reward points have not been received. To request call 08719180248 identification code: 45239 expired
spam,"Today's offer! Requirement of reduction vouchers worth £ 150! Text up to 85023 now! Savamob, member provided mobile! T cs 08717898035. £ 3.00. 16. UNSUB Answer x"
ham,Ill call you evening ill some ideas.
spam,Congratulations to you for being awarded £ 500 of our Gift CD and free entry 2 £ 100.
spam,"Want your Funk Up Fone with a new tone weekly to answer Tones2u 2 of this text. www.ringtones.co.uk, n at first. Apply 3GBP network operating rate"
ham,It is only yesterday true true.
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
ham,Good morning princess! How are you?
ham,It shall be fine. I have avalarr now. Will hollalater
ham,Mom wants to know where you at
ham,Yeah do! Donât stand to close tho- youâll catch something!
ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
ham,Wait  &lt;#&gt;  min..
ham,Well boy am I glad G wasted all night at applebees for nothing
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
spam,http // tms. widelive.com/index. WML? ID = 820554AD0A1705572711 & First = Trueâº ringtone
ham,Pls go there today  &lt;#&gt; . I dont want any excuses
ham,"Yes, princess. Toledo."
spam,"Hot Live Fantasies call now 08707509020 only needs 20p per minute NTT Ltd, Po Box 1327 Croydon Cr9 5WB 0870 is a national ratio call"
ham,Ok...
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY Â£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...
ham,Yupz... I've oredi booked slots 4 my weekends liao...
ham,Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?
spam,Warner Village 83118 C Colin Farrell in Swat Wkend @warner Village & Get 1 Med Med. Popcorn! Just display msg+ticket@kiosk.valid 4-7/12. C t & c @kiosk. Answer Sony 4 Mre Film provided
spam,"Remind from O2: To receive 2.50 pounds of free calling credit and details about excellent incentives PLS answer these two documents with your valid name, no house and your postal code"
spam,"Have you ever noticed that when you are driving, anyone who goes slower than you is an idiot and everyone driving faster than you is a madman?"
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
spam,Is your mobile 11 months or more? You have the right to update on the latest color mobile phones with free cameras! Call the free mobile update at 08002986030
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.."
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from Land Line 09050000928. Poxi45W2TG150P"
spam,"Have you won? 1,000 cash or a prize? 2,000! To request, call090500327"
spam,Check your babe video selection @ sms.shsex.netun fgkslpopw
ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
spam,"The first free ringtone text to 87131 for a poly or text is 87131 for a real melody! Help? 0845 2814032 16 after the first free, negative is 3x £ 150pw to Eâ £ nd txt stop"
ham,Yup
ham,I need details about that online job.
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
ham,Am going to take bath ill place the key in window:-)
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
ham,"Babe, I need your advice"
spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
spam,Do you want a new video phone? 750 at any time min? Unlimited text? Camera? Answer or call now 08000930705 for del sat am
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
ham,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
spam,Collecting your Valentine's weekend to Paris Inc + £ 200 hotel guaranteed awards! Text: Paris to number: 69101. Www.rtf.sphosting.com
spam,"I want some faucets! My husband goes away, I need a real man 2 that makes me satisfied. TXT's wife to 89938 has no action. (TXT stops 2 ends, txt rect £ 1.50."
spam,"Hot Live Fantasies call now 08707509020 only needs 20p per minute NTT Ltd, Po Box 1327 Croydon Cr9 5WB 0870 is a national ratio call"
ham,Dont talk to him ever ok its my word.
ham,Ugh fuck it I'm resubbing to eve
spam,"You have won a Nokia 7250i. This is what you get when you win our free auction. To join, send Nokia to 86021 now. HG/Suite342/2lands/W1JHL 16+"
spam,"Hot Live Fantasies call now 08707500020 only needs 20 minutes per minute NTT Ltd, Po Box 1327 Croydon Cr9 5WB 0870 is a national ratio call"
spam,"Did you realize that in about 40 years, we will have thousands of old women running around with tattoos?"
ham,Still in customer place
spam,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
spam,URGENT! Your mobile phone number has been awarded the awards £ 2000. Call 09061790126 from Land Line. Requirements 3030. Only 12HRS 150ppm valid
ham,I called but no one pick up e phone. I ask both of them already they said ok.
spam,For the most sparkling shopping vacation from 45 each; Call 0121 2025050 or visit www.shortbreaks.org.uk
spam,Congratulations on awarding 500 votes of CD or 125GIFT guarantee & free entry 2 100 WKLY MUSIC TXT to 87066 TNCS www.ldew.com1win150ppmx3age
spam,Congratulations on awarding 500 votes of CD or 125GIFT guarantee & free entry 2 100 WKLY MUSIC TXT to 87066 TNCS www.ldew.com1win150ppmx3age
spam,Hello 07734396839 Customer customers of IBH
ham,Ã eatin later but i'm eatin wif my frens now lei... Ã going home first?
spam,"This is the second time we have tried to contact U. You have won the £ 400. 2 Award is easy, just call 087104711148 right now! Only 10 minutes per minute. BT-NATIONAL ratio"
ham,I just cooked a rather nice salmon a la you
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
spam,You have a new message. Call 0207-083-6089
spam,The money I won the number 946 wot I did next
ham,I'm stuck in da middle of da row on da right hand side of da lt...
ham,"Sorry, I'll call later"
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from Land Line 09050000928. Poxi45W2TG150P"
spam,Bloomberg -message Center +44779706009 Why must wait? Applicable to your future HTTP: // career. Bloomberg.com
ham,Surely result will offer:)
spam,How about contacting people waiting for the company? Just return to your name and age to choose to join! Enjoy the community (150p/sms)
ham,Si si. I think ill go make those oreo truffles.
spam,Welcome! Please answer with your age and gender to start. Example: 24m
spam,Want the latest video handheld device? 750 whenever there is any min network? Half road for rent? Answer or call 08000930705 for delivery tomorrow
ham,Ok...
ham,Your pussy is perfect!
spam,"Thank you, the winner is notified by SMS. Good luck! There is no future marketing answer to stop 84122 customer service 08450542832"
ham,Good Morning plz call me sir
ham,Yeah my usual guy's out of town but there're definitely people around I know
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
ham,I am great! How are you?
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Â£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served"
ham,Its normally hot mail. Com you see!
ham,"Looks like you found something to do other than smoke, great job!"
spam,"GENTLEMAN! We are trying to contact you. Last weekend shows that you have won a prize worth £ 1,000. Call 0906412160. Request code K52. Only 12 hours valid. 150ppm"
ham,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
ham,Aiyah then i wait lor. Then u entertain me. Hee...
spam,"SMS service. For your written credit, Pls Goto www.comuk.net login = ***** cancel registration with a stop. There is no extra fee. Help: 08700469649. Po Box420. Ip4 5we"
ham,Ok... But bag again..
spam,"Sell male in January! Hot gay chat is now cheaper, call 08709222922. The national ratio is from 1.5p/minute to 7.8p/minute! To stop text, call 08712460324 (10p/minute)"
ham,If you're thinking of lifting me one then no.
spam,Natalie (20/F) is inviting you to be her friend. Answer there is-165 or No-165 see her: www.sms.ac/u/natalie2k9 stop? Send FRND to 62468
spam,Camera - You are given a Sipix digital camera! Call 09061221066 from a fixed phone. Delivery within 28 days
ham,K I'll be there before 4.
spam,Is your mobile 11 months or more? You have the right to update on the latest color mobile phones with free cameras! Call the free mobile update at 08002986030
spam,"For the opportunity to win free bluetooth headphones, just reply to ""adp"""
ham,Gud mrng dear hav a nice day
spam,From www.applausestore.com monthly
ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
ham,Doing project w frens lor.
spam,100 Cal dating services; L 09064012103 Box334SK38CH
spam,"This is the 2nd time we have tried 2 contact u. U have won the Â£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
spam,Life has never been fun and wonderful until you enter. You made it really special for me. I will not forget you! Enjoy @ One GBP/SMS
spam,URGENT! We are trying to contact U. Today Draw shows that you have won a prize worth £ 800. Call 09000001808 from Land Line. Request M95. Only valid 12hrs
ham,Ok lor... But buy wat?
spam,Camera - You are given a Sipix digital camera! Call 09061221066 from a fixed phone. Delivery within 28 days.
spam,Special Valentine's Day! Win over £ 1000 in our test and take your partners on a lifetime trip! Send to 83600 now. 150p/MSG RCVD. Custom: 08718720201.
ham,So when do you wanna gym harri
spam,"The Vodafone number of the day ends with 0089 (my last four digits) chosen to receive the £ 350 award. If your number matches each other, please call 09063442151 to receive your £ 350 award"
spam,Eastenders TV Quiz. Which flower compares with flowers? D = Violet E = Tulip F = lily txt d e or f to 84025 now 4 chances 2 wins £ 100 cash WKENT/150P16+
ham,* Thought I didn't see you.
ham,I'm at work. Please call
ham,"There're some people by mu, I'm at the table by lambda"
ham,When you came to hostel.
ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
ham,Ya even those cookies have jelly on them
spam,"Orange customers, now you can request your free camera upgrade for your loyalty. Call immediately 0207 153 9996. Provide 14thmarch ending. T&C applies. Refuse available"
spam,Provides customer loyalty: Mobile Nokia6650 is only from 10 pounds at TXTAUCTION! TXT Word: Start no: 81151 & receive you right now! 4T & CTXT TC 150P/MTMSG
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
ham,"Doing nothing, then u not having dinner w us?"
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
spam,You have a new phone. Please call 08719181513.
ham,"Come to mu, we're sorting out our narcotics situation"
ham,Sorry da..today i wont come to play..i have driving clas..
ham,You didnt complete your gist oh.
ham,I havent add Ã¼ yet right..
ham,Tired. I haven't slept well the past few nights.
ham,Great. Never been better. Each day gives even more reasons to thank God
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
spam,"URGENT! Your mobile phone number ******/Find out the prize of the bonus call £ 2000 on June 10, March! This is the second effort to approach you! Call 09066368753 as soon as possible! Box 97N7QP, 150ppm"
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
